	clustering coefficient
YPL228W	0.5833333333333334
YBR052C	0.3286290322580645
YLL028W	0.1596153846153846
YNL085W	0.14714714714714713
YHR156C	0.14285714285714285
YOL143C	0.29523809523809524
YDR113C	0.16581632653061223
YIL156W	0.22379032258064516
YJL148W	0.26713124274099886
YOL041C	0.27089864158829674
YMR309C	0.21049382716049383
YGL207W	0.15499606608969316
YGR116W	0.3333333333333333
YGR040W	0.030371203599550055
YML048W	0.11291779584462511
YNL110C	0.26092767295597485
YFR001W	0.448692152917505
YPL220W	0.34797864225781844
YER177W	0.11491865697473175
YPR030W	0.4642857142857143
YAR018C	0.09537166900420757
YML111W	0.16333333333333333
YGR274C	0.13666915608663183
YMR236W	0.19471947194719472
YER131W	0.3157894736842105
YDL192W	0.13761969904240767
YLR332W	0.20238095238095238
YMR307W	0.2571428571428571
YHL003C	0.19047619047619047
YJR010C-A	0.10921880784894483
YPL218W	0.20672268907563024
YBR055C	0.17625979843225084
YCR053W	0.34615384615384615
YOR261C	0.36820572764465226
YAL028W	0.1253246753246753
YAL047C	0.09236298292902066
YMR043W	0.06926406926406926
YDR100W	0.055191256830601096
YJL178C	0.19682539682539682
YPR144C	0.37895437895437895
YNL301C	0.5988315481986368
YOR096W	0.37768199233716476
YBR194W	0.0771712158808933
YGR118W	0.45876887340301975
YDR523C	0.02445842068483578
YOR094W	0.06315789473684211
YPL101W	0.5769230769230769
YER036C	0.19243243243243244
YKL180W	0.4533542230451503
YDR060W	0.29905538857878916
YOR206W	0.4396914446002805
YKL021C	0.5698427382053654
YLR449W	0.4378635642517187
YGL076C	0.38396317829457366
YNL178W	0.30892772791686346
YJL128C	0.1265597147950089
YMR319C	0.10869565217391304
YNL125C	0.22510822510822512
YNL130C	0.2987012987012987
YBR247C	0.275652008376166
YIL069C	0.35291692434549576
YJL095W	0.07997651203758074
YKL161C	0.11462450592885376
YER074W	0.6110395189003437
YMR116C	0.18961560527825588
YNL225C	0.15331010452961671
YGL212W	0.1157218001168907
YGR130C	0.1075429424943988
YIL074C	0.2692307692307692
YBR106W	0.08628267406893361
YML075C	0.23809523809523808
YLR183C	0.19444444444444445
YDL072C	0.17867867867867868
YDR062W	0.2898550724637681
YJR077C	0.2546230440967283
YIL109C	0.21370499419279906
YNL107W	0.15855855855855855
YOR018W	0.2549019607843137
YDL148C	0.3239289446185998
YDR449C	0.4833430742255991
YPR072W	0.22926829268292684
YML123C	0.13963963963963963
YER144C	0.16363636363636364
YCR012W	0.21781756180733164
YBR279W	0.2966183574879227
YLR418C	0.24848484848484848
YKL113C	0.16911764705882354
YOR144C	0.20915032679738563
YDR482C	0.44343434343434346
YPL178W	0.19341736694677872
YKL203C	0.08022333235380547
YOR326W	0.09963369963369964
YDR530C	0.6666666666666666
YKR081C	0.1587186679938467
YOR294W	0.2
YPL237W	0.3184885290148448
YMR125W	0.22133389438249526
YDL160C	0.05357479720807395
YHR165C	0.24500097068530383
YGL030W	0.3607548743613805
YBR215W	0.4411764705882353
YPR091C	0.19047619047619047
YDR324C	0.3567901234567901
YEL055C	0.2733333333333333
YBR088C	0.09049773755656108
YER117W	0.3761904761904762
YBR171W	0.2717391304347826
YOR324C	0.18877551020408162
YJR048W	0.3142857142857143
YKL195W	0.18492176386913228
YML098W	0.30634920634920637
YLR274W	0.21480406386066764
YHR121W	0.09574813372281726
YPR120C	0.15698924731182795
YDR393W	0.2773109243697479
YGR012W	0.3181818181818182
YCR020W-B	0.4602272727272727
YHR056C	0.5181451612903226
YBL026W	0.14488104784816894
YDR473C	0.47878787878787876
YJR032W	0.23692307692307693
YNL330C	0.2
YKL095W	0.31746031746031744
YPL151C	0.39326599326599326
YPL106C	0.10622577519379844
YPR171W	0.14358974358974358
YDR013W	0.4329004329004329
YJL072C	0.543859649122807
YJR066W	0.07305470608222901
YOL100W	0.0363382250174703
YJL190C	0.4143070044709389
YCR034W	0.13512361466325662
YMR149W	0.15438726397630506
YKL196C	0.20551378446115287
YLR078C	0.23025210084033612
YLR410W	0.22812846068660023
YNL113W	0.22209234365867914
YDL088C	0.5327635327635327
YDR159W	0.1607017543859649
YKR006C	0.4782051282051282
YML025C	0.48846153846153845
YML124C	0.23774283071230343
YPL004C	0.10888888888888888
YIL016W	0.19484167517875384
YNL251C	0.08461538461538462
YDR116C	0.6291291291291291
YGR092W	0.04602698650674663
YJL005W	0.25546218487394956
YER102W	0.46351242983159585
YHR196W	0.3938356164383562
YPL055C	0.09905020352781546
YEL053C	0.2857142857142857
YHR083W	0.319047619047619
YKL079W	0.11820699203876774
YJL006C	0.14193548387096774
YHR088W	0.5634132086499123
YLL008W	0.335423197492163
YGL080W	0.3055555555555556
YMR115W	0.34545454545454546
YJR007W	0.32346723044397463
YLR097C	0.3939393939393939
YMR303C	0.10526315789473684
YGR083C	0.6
YOR112W	0.2878787878787879
YER019C-A	0.4
YGL147C	0.599037690457097
YER040W	0.14705882352941177
YNL237W	0.0
YOR047C	0.04497354497354497
YOR358W	0.10256410256410256
YGL066W	0.19299191374663072
YKR028W	0.3333333333333333
YBR193C	0.4404040404040404
YLR071C	0.40271493212669685
YLR167W	0.21763869132290184
YBL050W	0.3333333333333333
YPL232W	0.1839323467230444
YDL065C	0.14358974358974358
YDR194C	0.30666666666666664
YML065W	0.07604243466863275
YDR225W	0.1516415744603664
YGL073W	0.18181818181818182
YKL062W	0.20553359683794467
YGR214W	0.2013888888888889
YJR017C	0.08209876543209876
YPL117C	0.2077922077922078
YPL058C	0.18984664198836596
YDR382W	0.40233602875112306
YJL080C	0.18418079096045198
YPR141C	0.21428571428571427
YDR427W	0.3835294117647059
YBR083W	0.33088235294117646
YOR016C	0.20707070707070707
YPR152C	0.06665737643998514
YEL026W	0.21558441558441557
YBR195C	0.2571428571428571
YER164W	0.32792207792207795
YMR229C	0.18133726003490402
YDR347W	0.5590327169274538
YGL129C	0.5897435897435898
YDR501W	0.2560483870967742
YFL009W	0.0967741935483871
YFR010W	0.288961038961039
YLR246W	0.26666666666666666
YOL027C	0.2464947987336047
YKL167C	0.6988505747126437
YDL213C	0.23829113924050632
